     0   0.929389 -0.00105648 0.92833292
  1.13    1.29802   0.933199 -0.00281077 0.93038829
  1.14    1.29823   0.933289 -0.00287083  0.9304184
  1.15    1.29844   0.933382 -0.00293348 0.93044879
  1.16    1.29865   0.933478 -0.00299888 0.93047947
  1.17    1.29887   0.933578 -0.00306722 0.93051043
  1.18     1.2991    0.93368 -0.00313867 0.93054169
  1.19    1.29933   0.933787 -0.00321346 0.93057324
   1.2    1.29957   0.933897 -0.0032918 0.93060509
  1.21    1.29982   0.934011 -0.00337395 0.93063725
  1.22    1.30007    0.93413 -0.00346016 0.93066971
  1.23    1.30033   0.934253 -0.00355073 0.93070249
  1.24     1.3006   0.934382 -0.00364597 0.93073559
  1.25    1.30088   0.934515 -0.00374623 0.93076902
  1.26    1.30116   0.934655 -0.00385186 0.93080278
  1.27    1.30145     0.9348 -0.00396329 0.93083688
  1.28    1.30175   0.934952 -0.00408096 0.93087133
  1.29    1.30207   0.935111 -0.00420534 0.93090614
   1.3    1.30239   0.935278 -0.00433698 0.93094132
  1.31    1.30272   0.935453 -0.00447645 0.93097686
  1.32    1.30306   0.935637 -0.0046244 0.93101279
  1.33    1.30341   0.935831 -0.00478153 0.93104911
  1.34    1.30378   0.936034 -0.00494861 0.93108583
  1.35    1.30416   0.936249 -0.00512649 0.93112295
  1.36    1.30455   0.936477 -0.00531612 0.93116049
  1.37    1.30496   0.936717 -0.00551853 0.93119845
  1.38    1.30538   0.936972 -0.00573487 0.93123685
  1.39    1.30582   0.937242 -0.00596642 0.93127568
   1.4    1.30627    0.93753 -0.00621457 0.93131496
  1.41    1.30674   0.937836 -0.00648089 0.93135469
  1.42    1.30723   0.938162 -0.00676712 0.93139487
  1.43    1.30774   0.938511 -0.00707518 0.93143551
  1.44    1.30827   0.938884 -0.00740721 0.93147662
  1.45    1.30883   0.939284 -0.00776559 0.93151819
  1.46     1.3094   0.939713 -0.00815298 0.93156023
  1.47       1.31   0.940175 -0.00857231 0.93160274
  1.48    1.31062   0.940673 -0.00902684 0.93164571
  1.49    1.31127   0.941209 -0.00952016 0.93168913
   1.5    1.31195   0.941789 -0.0100563 0.93173301
  1.51    1.31266   0.942417 -0.0106394 0.93177732
  1.52     1.3134   0.943096 -0.0112744 0.93182206
  1.53    1.31418   0.943833 -0.0119661 0.93186719
  1.54    1.31499   0.944632 -0.0127197 0.93191268
  1.55    1.31584   0.945499 -0.0135404 0.93195849
  1.56    1.31673   0.946437 -0.0144326 0.93200452
  1.57    1.31766   0.947451    -0.0154 0.93205068
  1.58    1.31864   0.948541 -0.0164438 0.93209679
  1.59    1.31966   0.949704 -0.0175612 0.93214259
   1.6    1.32074    0.95093 -0.0187423 0.93218767
  1.61    1.32187   0.952197 -0.0199653  0.9322314
  1.62    1.32306   0.953462 -0.0211891 0.93227282
  1.63    1.32431   0.954652 -0.0223415 0.93231051
  1.64    1.32562   0.955645 -0.0233022 0.93234249
  1.65      1.327   0.956246 -0.0238797 0.93236638
  1.66    1.32845   0.956167 -0.0237865 0.93238047
  1.67    1.32999   0.955018 -0.0226308 0.93238692
  1.68     1.3316   0.952371 -0.0199727 0.93239855
  1.69    1.33331   0.947988 -0.0155412 0.93244668
   1.7     1.3351   0.942263 -0.00969152 0.93257165
  1.71      1.337   0.936673 -0.00390517 0.93276789
  1.72    1.33901   0.933486 -0.000555455 0.93293043
  1.73    1.34113   0.934325 -0.00137489 0.93295055
  1.74    1.34337   0.938862 -0.00599472 0.93286687
  1.75    1.34574   0.945238 -0.0124431 0.93279467
  1.76    1.34825   0.951543 -0.0187559 0.93278669
  1.77    1.35091    0.95668 -0.0238488  0.9328309
  1.78    1.35372   0.960351 -0.0274516 0.93289965
  1.79    1.35671   0.962713 -0.0297397 0.93297306
   1.8    1.35988   0.964079 -0.0310374 0.93304147
  1.81    1.36324   0.964761 -0.0316592  0.9331018
  1.82    1.36681   0.965004 -0.0318494  0.9331541
  1.83    1.37061   0.964971 -0.0317718 0.93319943
  1.84    1.37464   0.964758 -0.0315189 0.93323895
  1.85    1.37893   0.964399 -0.0311256 0.93327367
  1.86     1.3835   0.963887 -0.0305822 0.93330458
  1.87    1.38836   0.963182 -0.0298487 0.93333301
  1.88    1.39354   0.962236  -0.028875 0.93336113
  1.89    1.39906   0.961024 -0.0276318  0.9333921
   1.9    1.40494   0.959585 -0.0261558 0.93342931
  1.91    1.41122   0.958068 -0.0245941 0.93347391
  1.92    1.41792   0.956737 -0.0232153 0.93352143
  1.93    1.42508   0.955903 -0.0223414 0.93356154
  1.94    1.43272    0.95579 -0.0222052 0.93358449
  1.95    1.44089   0.956408 -0.0228181 0.93358957
  1.96    1.44963   0.957548  -0.023962 0.93358584
  1.97    1.45896   0.958895 -0.0253114 0.93358395
  1.98    1.46895   0.960171 -0.0265823 0.93358913
  1.99    1.47963   0.961211 -0.0276102 0.93360076
     2    1.49105   0.961964 -0.0283487  0.9336156
  2.01    1.50326   0.962459  -0.028828 0.93363057
  2.02    1.51631   0.962756  -0.029112 0.93364368
  2.03    1.53024   0.962924 -0.0292704 0.93365398
  2.04    1.54509   0.963026 -0.0293644 0.93366121
  2.05    1.56089   0.963108 -0.0294423  0.9336654
  2.06    1.57766   0.963206 -0.0295392 0.93366672
  2.07    1.59539   0.963345 -0.0296794 0.93366533
  2.08    1.61404   0.963539  -0.029878 0.93366137
  2.09    1.63351   0.963798 -0.0301431 0.93365492
   2.1    1.65361   0.964122 -0.0304764 0.93364602
  2.11    1.67404   0.964508 -0.0308737 0.93363461
  2.12    1.69432   0.964945 -0.0313241 0.93362059
  2.13    1.71371   0.965412 -0.0318086 0.93360376
  2.14     1.7311   0.965881 -0.0322973 0.93358381
  2.15    1.74484   0.966306 -0.0327457 0.93356035
  2.16    1.75255   0.966623 -0.0330903 0.93353295
  2.17    1.75085   0.966746 -0.0332444 0.93350138
  2.18    1.73517   0.966565 -0.0330987  0.9334661
  2.19    1.69958   0.965962 -0.0325327 0.93342911
   2.2    1.63714   0.964846 -0.0314513 0.93339495
  2.21    1.54105   0.963227 -0.0298564  0.9333704
  2.22    1.40703   0.961306 -0.0279456 0.93336022
  2.23    1.23667   0.959529 -0.0261709 0.93335839
  2.24    1.04017   0.958484 -0.0251398 0.93334377
  2.25   0.835719   0.958608 -0.0253144 0.93329397
  2.26   0.644299   0.959917 -0.0267092 0.93320812
  2.27   0.482604   0.961992 -0.0288851 0.93310727
  2.28   0.358618   0.964255 -0.0312431 0.93301189
  2.29   0.271907   0.966251 -0.0333235 0.93292769
   2.3   0.216867   0.967773  -0.034907 0.93286589
  2.31   0.186135   0.968778 -0.0359577 0.93282024
  2.32    0.17276   0.969299 -0.0365278 0.93277099
  2.33   0.171115   0.969407 -0.0366905 0.93271673
  2.34   0.177014   0.969169 -0.0365116 0.93265779
  2.35   0.187506   0.968642  -0.036047 0.93259522
  2.36   0.200585   0.967883 -0.0353528 0.93253017
  2.37   0.214918   0.966962 -0.0344983  0.9324633
  2.38   0.229644   0.965968 -0.0335732 0.93239438
  2.39   0.244221   0.965005 -0.0326829 0.93232207
   2.4   0.258316   0.964175 -0.0319302 0.93224435
  2.41   0.271741   0.963547 -0.0313872 0.93215952
  2.42   0.284396    0.96314 -0.0310732 0.93206728
  2.43   0.296244   0.962919 -0.0309504  0.9319689
  2.44   0.307283   0.962808 -0.0309415 0.93186652
  2.45   0.317537    0.96272  -0.030958 0.93176207
  2.46   0.327039   0.962582 -0.0309255 0.93165664
  2.47   0.335835   0.962347 -0.0307969 0.93155049
  2.48    0.34397   0.961997 -0.0305535 0.93144341
  2.49   0.351492   0.961533 -0.0301984 0.93133505
